"Museum of Contemporary Russian Art","0",NA
"New Museum","0",NA
"16thLINE art-gallery","0",NA
"Essl Museum - Kunst der Gegenwart","0",NA
"The Margulies Collection at the Warehouse","0",NA
"Kloster Schoenthal","0",NA
"David Roberts Arts Foundation","0",NA
"Sammlung Achim Freyer","0",NA
"Museum Liaunig","0",NA
"Lyon Housemuseum ('The original Housemuseum')","0",NA
"Ujong Museum","0",NA
"Total Museum of Contemporary Art","0",NA
"Daesan Museum of Art","0",NA
"Cyan Museum","0",NA
"Asia Museum of Arts","0",NA
"Hankuk Art Museum","1","M127292"
"Leyoung Contemporary Art Museum","0",NA
"Youngsan Museum","0",NA
"Achen Museum of Art","0",NA
"Soso Art Museum","0",NA
"Lim Lip Art Museum","0",NA
"Art Center Nabi","0",NA
"Haeum Museum of Art","0",NA
"Bukchon Art Museum","0",NA
"Ullens Center for Contemporary Art (now UCCA Beijing)","0",NA
"Eunam Museum of Art","0",NA
"Space*c","0",NA
"Museum SAN","0",NA
"Amorepacitif Museum of Art","0",NA
"The Museum of Photography","0",NA
"Seoul Museum","0",NA
"Savina Museum","0",NA
"Illhyun Art Museum","0",NA
"Namsong Art Museum","0",NA
"Moran Museum of Art","0",NA
"Fondation Louis Vuitton","0",NA
"Nampo Art Museum","0",NA
"Gail Art Museum","0",NA
"Portalakis Collection - Exhibition Space","0",NA
"Museum Beelden aan Zee","0",NA
"ESMoA","0",NA
"M Woods / 798","0",NA
"Daelim Museum","0",NA
"MOCA Bangkok","0",NA
"Hanwon Museum of Art","0",NA
"Kumho Museum","0",NA
"OCI Museum","0",NA
"The red brick contemporary art museum","0",NA
"Literatur- und Kunstinstitut Hombroich im Rosa Haus","0",NA
"Girls' Club Collection","0",NA
"Glenbarra Art Museum","0",NA
"Schaulager Basel","0",NA
"Sammlung Haubrok","0",NA
"Vanmoerkerke Collection","0",NA
"White Rabbit Gallery","0",NA
"Peyrassol","0",NA
"Permanent Collection of Modern Greek","0",NA
"Oliver's Southern Folk Art","0",NA
"Contemporary Art Brussels, Art Center","0",NA
"Namchoel Museum of Art","0",NA
"Nirasaki Omura Art Museum","0",NA
"Leal Rios Foundation","0",NA
"Museo Chirivella Soriano","1","M210738"
"Kasama Nichido Museum of Art","0",NA
"Dohwahun Museum of Art","0",NA
"Birla Academy of Art & Culture","0",NA
"Fundación Antonio Pérez","0",NA
"Isabel and Agustion Coppel Collection (CIAC), A. C.","0",NA
"Museo Soumaya","0",NA
"Galería Artur Ramon de Coleccionismo","0",NA
"Casa para dos coleccionistas","0",NA
"Sera Museum of Art","0",NA
"Instituto Figueiredo Ferraz","0",NA
"The Museum of Old and New Art","0",NA
"Coleção Particular","0",NA
"Museo de Arte Contemporáneo","0",NA
"Sungkok Art Museum","0",NA
"Till Richter Museum of Contemporary Art","0",NA
